,DATE,COMPANY,PX_LAST,CURR_ENTP_VAL,PE_RATIO,DIVIDEND_YIELD
0,2013-05-22,aapl us equity,441.354,269589.5,10.536,0.018012999999999998
1,2013-05-21,aapl us equity,439.66,267999.4375,10.4956,0.018082
2,2013-05-20,aapl us equity,442.93,271068.7813,10.5736,0.017949000000000003
3,2013-05-19,aapl us equity,433.26,261992.0625,10.3428,0.018349
4,2013-05-16,aapl us equity,434.578,263229.2188,10.3743,0.018294
5,2013-05-15,aapl us equity,428.85,257852.625,10.2375,0.018538000000000002
6,2013-05-14,aapl us equity,443.86,271941.7188,10.5958,0.017911
7,2013-05-13,aapl us equity,454.74,282154.25,10.8556,0.017483
8,2013-05-12,aapl us equity,452.97,280492.8438,10.8133,0.017551
9,2013-05-09,aapl us equity,456.77,284059.6875,10.904,0.017405
10,2013-05-08,aapl us equity,463.84,290695.9375,11.0728,0.01714
11,2013-05-07,aapl us equity,458.658,285831.875,10.9491,0.017332999999999998
12,2013-05-06,aapl us equity,460.71,287757.9688,10.9981,0.017256
13,2013-05-05,aapl us equity,449.98,277686.2813,10.7419,0.017667000000000002
14,2013-05-02,aapl us equity,445.52,273499.9063,10.6355,0.017844
15,2013-05-01,aapl us equity,439.29,267652.125,10.4868,0.018097
16,2013-04-30,aapl us equity,442.78,270928.0,10.5701,0.017955000000000002
17,2013-04-29,aapl us equity,430.12,259044.7188,10.2678,0.018483
18,2013-04-28,aapl us equity,417.205,246922.0313,9.9595,0.019055
19,2013-04-25,aapl us equity,408.38,238638.4688,9.7489,0.019466999999999998
20,2013-04-24,aapl us equity,405.462,235899.5,9.6792,0.019607
21,2013-04-23,aapl us equity,406.13,236692.625,9.6952,0.019575
22,2013-04-22,aapl us equity,398.67,229687.25,9.5171,0.019941
23,2013-04-21,aapl us equity,390.53,222043.3125,9.3228,0.020357
24,2013-04-18,aapl us equity,392.05,223470.6875,9.359,0.020278
25,2013-04-17,aapl us equity,402.8,233565.5625,9.6157,0.019737
26,2013-04-16,aapl us equity,426.24,255577.0625,10.1752,0.018651
27,2013-04-15,aapl us equity,419.85,249576.5,10.0227,0.018935
28,2013-04-14,aapl us equity,429.8,258920.125,10.2602,0.018497
29,2013-04-11,aapl us equity,434.33,263174.0625,10.3683,0.018304
