,DATE,COMPANY,LT_DEBT_TO_COM_EQY
0,2013-05-22,aapl us equity,0.0
1,2013-05-21,aapl us equity,0.0
2,2013-05-20,aapl us equity,0.0
3,2013-05-19,aapl us equity,0.0
4,2013-05-16,aapl us equity,0.0
5,2013-05-15,aapl us equity,0.0
6,2013-05-14,aapl us equity,0.0
7,2013-05-13,aapl us equity,0.0
8,2013-05-12,aapl us equity,0.0
9,2013-05-09,aapl us equity,0.0
10,2013-05-08,aapl us equity,0.0
11,2013-05-07,aapl us equity,0.0
12,2013-05-06,aapl us equity,0.0
13,2013-05-05,aapl us equity,0.0
14,2013-05-02,aapl us equity,0.0
15,2013-05-01,aapl us equity,0.0
16,2013-04-30,aapl us equity,0.0
17,2013-04-29,aapl us equity,0.0
18,2013-04-28,aapl us equity,0.0
19,2013-04-25,aapl us equity,0.0
20,2013-04-24,aapl us equity,0.0
21,2013-04-23,aapl us equity,0.0
22,2013-04-22,aapl us equity,0.0
23,2013-04-21,aapl us equity,0.0
24,2013-04-18,aapl us equity,0.0
25,2013-04-17,aapl us equity,0.0
26,2013-04-16,aapl us equity,0.0
27,2013-04-15,aapl us equity,0.0
28,2013-04-14,aapl us equity,0.0
29,2013-04-11,aapl us equity,0.0
30,2013-04-10,aapl us equity,0.0
31,2013-04-09,aapl us equity,0.0
32,2013-04-08,aapl us equity,0.0
33,2013-04-07,aapl us equity,0.0
34,2013-04-04,aapl us equity,0.0
35,2013-04-03,aapl us equity,0.0
36,2013-04-02,aapl us equity,0.0
37,2013-04-01,aapl us equity,0.0
38,2013-03-31,aapl us equity,0.0
39,2013-03-28,aapl us equity,0.0
40,2013-03-27,aapl us equity,0.0
41,2013-03-26,aapl us equity,0.0
42,2013-03-25,aapl us equity,0.0
43,2013-03-24,aapl us equity,0.0
44,2013-03-21,aapl us equity,0.0
45,2013-03-20,aapl us equity,0.0
46,2013-03-19,aapl us equity,0.0
47,2013-03-18,aapl us equity,0.0
48,2013-03-17,aapl us equity,0.0
49,2013-03-14,aapl us equity,0.0
50,2013-03-13,aapl us equity,0.0
51,2013-03-12,aapl us equity,0.0
52,2013-03-11,aapl us equity,0.0
53,2013-03-10,aapl us equity,0.0
54,2013-03-07,aapl us equity,0.0
55,2013-03-06,aapl us equity,0.0
56,2013-03-05,aapl us equity,0.0
57,2013-03-04,aapl us equity,0.0
58,2013-03-03,aapl us equity,0.0
59,2013-02-28,aapl us equity,0.0
60,2013-02-27,aapl us equity,0.0
61,2013-02-26,aapl us equity,0.0
62,2013-02-25,aapl us equity,0.0
63,2013-02-24,aapl us equity,0.0
64,2013-02-21,aapl us equity,0.0
65,2013-02-20,aapl us equity,0.0
66,2013-02-19,aapl us equity,0.0
67,2013-02-18,aapl us equity,0.0
68,2013-02-17,aapl us equity,0.0
69,2013-02-14,aapl us equity,0.0
70,2013-02-13,aapl us equity,0.0
71,2013-02-12,aapl us equity,0.0
72,2013-02-11,aapl us equity,0.0
73,2013-02-10,aapl us equity,0.0
74,2013-02-07,aapl us equity,0.0
75,2013-02-06,aapl us equity,0.0
76,2013-02-05,aapl us equity,0.0
77,2013-02-04,aapl us equity,0.0
78,2013-02-03,aapl us equity,0.0
79,2013-01-31,aapl us equity,0.0
80,2013-01-30,aapl us equity,0.0
81,2013-01-29,aapl us equity,0.0
82,2013-01-28,aapl us equity,0.0
83,2013-01-27,aapl us equity,0.0
84,2013-01-24,aapl us equity,0.0
85,2013-01-23,aapl us equity,0.0
86,2013-01-22,aapl us equity,0.0
87,2013-01-21,aapl us equity,0.0
88,2013-01-20,aapl us equity,0.0
89,2013-01-17,aapl us equity,0.0
90,2013-01-16,aapl us equity,0.0
91,2013-01-15,aapl us equity,0.0
92,2013-01-14,aapl us equity,0.0
93,2013-01-13,aapl us equity,0.0
94,2013-01-10,aapl us equity,0.0
95,2013-01-09,aapl us equity,0.0
96,2013-01-08,aapl us equity,0.0
97,2013-01-07,aapl us equity,0.0
98,2013-01-06,aapl us equity,0.0
99,2013-01-03,aapl us equity,0.0
100,2013-01-02,aapl us equity,0.0
101,2013-01-01,aapl us equity,0.0
102,2012-12-31,aapl us equity,0.0
103,2012-12-30,aapl us equity,0.0
104,2012-12-27,aapl us equity,0.0
105,2012-12-26,aapl us equity,0.0
106,2012-12-25,aapl us equity,0.0
107,2012-12-24,aapl us equity,0.0
108,2012-12-23,aapl us equity,0.0
109,2012-12-20,aapl us equity,0.0
110,2012-12-19,aapl us equity,0.0
111,2012-12-18,aapl us equity,0.0
112,2012-12-17,aapl us equity,0.0
113,2012-12-16,aapl us equity,0.0
114,2012-12-13,aapl us equity,0.0
115,2012-12-12,aapl us equity,0.0
116,2012-12-11,aapl us equity,0.0
117,2012-12-10,aapl us equity,0.0
118,2012-12-09,aapl us equity,0.0
119,2012-12-06,aapl us equity,0.0
120,2012-12-05,aapl us equity,0.0
121,2012-12-04,aapl us equity,0.0
122,2012-12-03,aapl us equity,0.0
123,2012-12-02,aapl us equity,0.0
124,2012-11-29,aapl us equity,0.0
125,2012-11-28,aapl us equity,0.0
126,2012-11-27,aapl us equity,0.0
127,2012-11-26,aapl us equity,0.0
128,2012-11-25,aapl us equity,0.0
129,2012-11-22,aapl us equity,0.0
130,2012-11-21,aapl us equity,0.0
131,2012-11-20,aapl us equity,0.0
132,2012-11-19,aapl us equity,0.0
133,2012-11-18,aapl us equity,0.0
134,2012-11-15,aapl us equity,0.0
135,2012-11-14,aapl us equity,0.0
136,2012-11-13,aapl us equity,0.0
137,2012-11-12,aapl us equity,0.0
138,2012-11-11,aapl us equity,0.0
139,2012-11-08,aapl us equity,0.0
140,2012-11-07,aapl us equity,0.0
141,2012-11-06,aapl us equity,0.0
142,2012-11-05,aapl us equity,0.0
143,2012-11-04,aapl us equity,0.0
144,2012-11-01,aapl us equity,0.0
145,2012-10-31,aapl us equity,0.0
146,2012-10-30,aapl us equity,0.0
147,2012-10-29,aapl us equity,0.0
148,2012-10-28,aapl us equity,0.0
149,2012-10-25,aapl us equity,0.0
150,2012-10-24,aapl us equity,0.0
151,2012-10-23,aapl us equity,0.0
152,2012-10-22,aapl us equity,0.0
153,2012-10-21,aapl us equity,0.0
154,2012-10-18,aapl us equity,0.0
155,2012-10-17,aapl us equity,0.0
156,2012-10-16,aapl us equity,0.0
157,2012-10-15,aapl us equity,0.0
158,2012-10-14,aapl us equity,0.0
159,2012-10-11,aapl us equity,0.0
160,2012-10-10,aapl us equity,0.0
161,2012-10-09,aapl us equity,0.0
162,2012-10-08,aapl us equity,0.0
163,2012-10-07,aapl us equity,0.0
164,2012-10-04,aapl us equity,0.0
165,2012-10-03,aapl us equity,0.0
166,2012-10-02,aapl us equity,0.0
167,2012-10-01,aapl us equity,0.0
168,2012-09-30,aapl us equity,0.0
169,2012-09-27,aapl us equity,0.0
170,2012-09-26,aapl us equity,0.0
171,2012-09-25,aapl us equity,0.0
172,2012-09-24,aapl us equity,0.0
173,2012-09-23,aapl us equity,0.0
174,2012-09-20,aapl us equity,0.0
175,2012-09-19,aapl us equity,0.0
176,2012-09-18,aapl us equity,0.0
177,2012-09-17,aapl us equity,0.0
178,2012-09-16,aapl us equity,0.0
179,2012-09-13,aapl us equity,0.0
180,2012-09-12,aapl us equity,0.0
181,2012-09-11,aapl us equity,0.0
182,2012-09-10,aapl us equity,0.0
183,2012-09-09,aapl us equity,0.0
184,2012-09-06,aapl us equity,0.0
185,2012-09-05,aapl us equity,0.0
186,2012-09-04,aapl us equity,0.0
187,2012-09-03,aapl us equity,0.0
188,2012-09-02,aapl us equity,0.0
189,2012-08-30,aapl us equity,0.0
190,2012-08-29,aapl us equity,0.0
191,2012-08-28,aapl us equity,0.0
192,2012-08-27,aapl us equity,0.0
193,2012-08-26,aapl us equity,0.0
194,2012-08-23,aapl us equity,0.0
195,2012-08-22,aapl us equity,0.0
196,2012-08-21,aapl us equity,0.0
197,2012-08-20,aapl us equity,0.0
198,2012-08-19,aapl us equity,0.0
199,2012-08-16,aapl us equity,0.0
200,2012-08-15,aapl us equity,0.0
201,2012-08-14,aapl us equity,0.0
202,2012-08-13,aapl us equity,0.0
203,2012-08-12,aapl us equity,0.0
204,2012-08-09,aapl us equity,0.0
205,2012-08-08,aapl us equity,0.0
206,2012-08-07,aapl us equity,0.0
207,2012-08-06,aapl us equity,0.0
208,2012-08-05,aapl us equity,0.0
209,2012-08-02,aapl us equity,0.0
210,2012-08-01,aapl us equity,0.0
211,2012-07-31,aapl us equity,0.0
212,2012-07-30,aapl us equity,0.0
213,2012-07-29,aapl us equity,0.0
214,2012-07-26,aapl us equity,0.0
215,2012-07-25,aapl us equity,0.0
216,2012-07-24,aapl us equity,0.0
217,2012-07-23,aapl us equity,0.0
218,2012-07-22,aapl us equity,0.0
219,2012-07-19,aapl us equity,0.0
220,2012-07-18,aapl us equity,0.0
221,2012-07-17,aapl us equity,0.0
222,2012-07-16,aapl us equity,0.0
223,2012-07-15,aapl us equity,0.0
224,2012-07-12,aapl us equity,0.0
225,2012-07-11,aapl us equity,0.0
226,2012-07-10,aapl us equity,0.0
227,2012-07-09,aapl us equity,0.0
228,2012-07-08,aapl us equity,0.0
229,2012-07-05,aapl us equity,0.0
230,2012-07-04,aapl us equity,0.0
231,2012-07-03,aapl us equity,0.0
232,2012-07-02,aapl us equity,0.0
233,2012-07-01,aapl us equity,0.0
234,2012-06-28,aapl us equity,0.0
235,2012-06-27,aapl us equity,0.0
236,2012-06-26,aapl us equity,0.0
237,2012-06-25,aapl us equity,0.0
238,2012-06-24,aapl us equity,0.0
239,2012-06-21,aapl us equity,0.0
240,2012-06-20,aapl us equity,0.0
241,2012-06-19,aapl us equity,0.0
242,2012-06-18,aapl us equity,0.0
243,2012-06-17,aapl us equity,0.0
244,2012-06-14,aapl us equity,0.0
245,2012-06-13,aapl us equity,0.0
246,2012-06-12,aapl us equity,0.0
247,2012-06-11,aapl us equity,0.0
248,2012-06-10,aapl us equity,0.0
249,2012-06-07,aapl us equity,0.0
250,2012-06-06,aapl us equity,0.0
251,2012-06-05,aapl us equity,0.0
252,2012-06-04,aapl us equity,0.0
253,2012-06-03,aapl us equity,0.0
254,2012-05-31,aapl us equity,0.0
255,2012-05-30,aapl us equity,0.0
256,2012-05-29,aapl us equity,0.0
257,2012-05-28,aapl us equity,0.0
258,2012-05-27,aapl us equity,0.0
259,2012-05-24,aapl us equity,0.0
260,2012-05-23,aapl us equity,0.0
261,2012-05-22,aapl us equity,0.0
262,2012-05-21,aapl us equity,0.0
263,2012-05-20,aapl us equity,0.0
264,2012-05-17,aapl us equity,0.0
265,2012-05-16,aapl us equity,0.0
266,2012-05-15,aapl us equity,0.0
267,2012-05-14,aapl us equity,0.0
268,2012-05-13,aapl us equity,0.0
269,2012-05-10,aapl us equity,0.0
270,2012-05-09,aapl us equity,0.0
271,2012-05-08,aapl us equity,0.0
272,2012-05-07,aapl us equity,0.0
273,2012-05-06,aapl us equity,0.0
274,2012-05-03,aapl us equity,0.0
275,2012-05-02,aapl us equity,0.0
276,2012-05-01,aapl us equity,0.0
277,2012-04-30,aapl us equity,0.0
278,2012-04-29,aapl us equity,0.0
279,2012-04-26,aapl us equity,0.0
280,2012-04-25,aapl us equity,0.0
281,2012-04-24,aapl us equity,0.0
282,2012-04-23,aapl us equity,0.0
