,DATE,COMPANY,TRAIL_12M_EBITDA,EBITDA_MARGIN
0,2013-05-22,aapl us equity,57381.0,0.339324
1,2013-05-21,aapl us equity,57381.0,0.339324
2,2013-05-20,aapl us equity,57381.0,0.339324
3,2013-05-19,aapl us equity,57381.0,0.339324
4,2013-05-16,aapl us equity,57381.0,0.339324
5,2013-05-15,aapl us equity,57381.0,0.339324
6,2013-05-14,aapl us equity,57381.0,0.339324
7,2013-05-13,aapl us equity,57381.0,0.339324
8,2013-05-12,aapl us equity,57381.0,0.339324
9,2013-05-09,aapl us equity,57381.0,0.339324
10,2013-05-08,aapl us equity,57381.0,0.339324
11,2013-05-07,aapl us equity,57381.0,0.339324
12,2013-05-06,aapl us equity,57381.0,0.339324
13,2013-05-05,aapl us equity,57381.0,0.339324
14,2013-05-02,aapl us equity,57381.0,0.339324
15,2013-05-01,aapl us equity,57381.0,0.339324
16,2013-04-30,aapl us equity,57381.0,0.339324
17,2013-04-29,aapl us equity,57381.0,0.339324
18,2013-04-28,aapl us equity,57381.0,0.339324
19,2013-04-25,aapl us equity,57381.0,0.339324
20,2013-04-24,aapl us equity,57381.0,0.339324
21,2013-04-23,aapl us equity,57381.0,0.339324
22,2013-04-22,aapl us equity,57381.0,0.339324
23,2013-04-21,aapl us equity,57381.0,0.339324
24,2013-04-18,aapl us equity,57381.0,0.339324
25,2013-04-17,aapl us equity,57381.0,0.339324
26,2013-04-16,aapl us equity,57381.0,0.339324
27,2013-04-15,aapl us equity,57381.0,0.339324
28,2013-04-14,aapl us equity,57381.0,0.339324
29,2013-04-11,aapl us equity,57381.0,0.339324
30,2013-04-10,aapl us equity,57381.0,0.339324
31,2013-04-09,aapl us equity,57381.0,0.339324
32,2013-04-08,aapl us equity,57381.0,0.339324
33,2013-04-07,aapl us equity,57381.0,0.339324
34,2013-04-04,aapl us equity,57381.0,0.339324
35,2013-04-03,aapl us equity,57381.0,0.339324
36,2013-04-02,aapl us equity,57381.0,0.339324
37,2013-04-01,aapl us equity,57381.0,0.339324
38,2013-03-31,aapl us equity,57381.0,0.339324
39,2013-03-28,aapl us equity,59255.0,0.359804
40,2013-03-27,aapl us equity,59255.0,0.359804
41,2013-03-26,aapl us equity,59255.0,0.359804
42,2013-03-25,aapl us equity,59255.0,0.359804
43,2013-03-24,aapl us equity,59255.0,0.359804
44,2013-03-21,aapl us equity,59255.0,0.359804
45,2013-03-20,aapl us equity,59255.0,0.359804
46,2013-03-19,aapl us equity,59255.0,0.359804
47,2013-03-18,aapl us equity,59255.0,0.359804
48,2013-03-17,aapl us equity,59255.0,0.359804
49,2013-03-14,aapl us equity,59255.0,0.359804
50,2013-03-13,aapl us equity,59255.0,0.359804
51,2013-03-12,aapl us equity,59255.0,0.359804
52,2013-03-11,aapl us equity,59255.0,0.359804
53,2013-03-10,aapl us equity,59255.0,0.359804
54,2013-03-07,aapl us equity,59255.0,0.359804
55,2013-03-06,aapl us equity,59255.0,0.359804
56,2013-03-05,aapl us equity,59255.0,0.359804
57,2013-03-04,aapl us equity,59255.0,0.359804
58,2013-03-03,aapl us equity,59255.0,0.359804
59,2013-02-28,aapl us equity,59255.0,0.359804
60,2013-02-27,aapl us equity,59255.0,0.359804
61,2013-02-26,aapl us equity,59255.0,0.359804
62,2013-02-25,aapl us equity,59255.0,0.359804
63,2013-02-24,aapl us equity,59255.0,0.359804
64,2013-02-21,aapl us equity,59255.0,0.359804
65,2013-02-20,aapl us equity,59255.0,0.359804
66,2013-02-19,aapl us equity,59255.0,0.359804
67,2013-02-18,aapl us equity,59255.0,0.359804
68,2013-02-17,aapl us equity,59255.0,0.359804
69,2013-02-14,aapl us equity,59255.0,0.359804
70,2013-02-13,aapl us equity,59255.0,0.359804
71,2013-02-12,aapl us equity,59255.0,0.359804
72,2013-02-11,aapl us equity,59255.0,0.359804
73,2013-02-10,aapl us equity,59255.0,0.359804
74,2013-02-07,aapl us equity,59255.0,0.359804
75,2013-02-06,aapl us equity,59255.0,0.359804
76,2013-02-05,aapl us equity,59255.0,0.359804
77,2013-02-04,aapl us equity,59255.0,0.359804
78,2013-02-03,aapl us equity,59255.0,0.359804
79,2013-01-31,aapl us equity,59255.0,0.359804
80,2013-01-30,aapl us equity,59255.0,0.359804
81,2013-01-29,aapl us equity,59255.0,0.359804
82,2013-01-28,aapl us equity,59255.0,0.359804
83,2013-01-27,aapl us equity,59255.0,0.359804
84,2013-01-24,aapl us equity,59255.0,0.359804
85,2013-01-23,aapl us equity,59255.0,0.359804
86,2013-01-22,aapl us equity,59255.0,0.359804
87,2013-01-21,aapl us equity,59255.0,0.359804
88,2013-01-20,aapl us equity,59255.0,0.359804
89,2013-01-17,aapl us equity,59255.0,0.359804
90,2013-01-16,aapl us equity,59255.0,0.359804
91,2013-01-15,aapl us equity,59255.0,0.359804
92,2013-01-14,aapl us equity,59255.0,0.359804
93,2013-01-13,aapl us equity,59255.0,0.359804
94,2013-01-10,aapl us equity,59255.0,0.359804
95,2013-01-09,aapl us equity,59255.0,0.359804
96,2013-01-08,aapl us equity,59255.0,0.359804
97,2013-01-07,aapl us equity,59255.0,0.359804
98,2013-01-06,aapl us equity,59255.0,0.359804
99,2013-01-03,aapl us equity,59255.0,0.359804
100,2013-01-02,aapl us equity,59255.0,0.359804
101,2013-01-01,aapl us equity,59255.0,0.359804
102,2012-12-31,aapl us equity,59255.0,0.359804
103,2012-12-30,aapl us equity,59255.0,0.359804
104,2012-12-27,aapl us equity,58518.0,0.373898
105,2012-12-26,aapl us equity,58518.0,0.373898
106,2012-12-25,aapl us equity,58518.0,0.373898
107,2012-12-24,aapl us equity,58518.0,0.373898
108,2012-12-23,aapl us equity,58518.0,0.373898
109,2012-12-20,aapl us equity,58518.0,0.373898
110,2012-12-19,aapl us equity,58518.0,0.373898
111,2012-12-18,aapl us equity,58518.0,0.373898
112,2012-12-17,aapl us equity,58518.0,0.373898
113,2012-12-16,aapl us equity,58518.0,0.373898
114,2012-12-13,aapl us equity,58518.0,0.373898
115,2012-12-12,aapl us equity,58518.0,0.373898
116,2012-12-11,aapl us equity,58518.0,0.373898
117,2012-12-10,aapl us equity,58518.0,0.373898
118,2012-12-09,aapl us equity,58518.0,0.373898
119,2012-12-06,aapl us equity,58518.0,0.373898
120,2012-12-05,aapl us equity,58518.0,0.373898
121,2012-12-04,aapl us equity,58518.0,0.373898
122,2012-12-03,aapl us equity,58518.0,0.373898
